,Project Name,Approved Budget,Start Date,End Date,Name Of Awarded Company,Amount Awarded,Date Of Award,Acceptance Date,Procuring Entity,Money Ratio,Category,,,
8511,Procurement of Vitamin C as Relief Goods under ARBold Move for ARBs during Covid-19 Pandemicr,220077,20/05/2020,19/06/2020,WATSONS (FAMILY HEALTH & BEAUTY) DRUGSTORE,53326.35,20/05/2020,22/05/2020,DARPO Cagayan,0.242307692,Not classified,,,
8512,"Eye, goggle Surgical",53200,30/03/2020,07/04/2020,carewell bio-medical systems co,53200,30/03/2020,30/03/2020,PHILIPPINE CHILDREN\'S MEDICAL CENTER,1,Not classified,,,
8513,"Kit, 7500 Fast Real-Time PCR, Systems Spectral Calibration Kit II, kit (Thermo Fisher Scientific-Applied Biosystems) (Cat no 4362201)",53130,21/05/2020,20/06/2020,"MEDICAL TEST SYSTEMS, INC.",53130,23/04/2020,23/04/2020,Research Institute for Tropical Medicine (RITM-DOH),1,Not classified,,,
8514,"Reference Housing for AVL 9180, (3112284180), pack",53037.6,25/06/2020,16/07/2020,"METRO DRUG, INC.",53037.6,14/05/2020,14/05/2020,Research Institute for Tropical Medicine (RITM-DOH),1,Not classified,,,
8515,"Supply and Delivery of Hose, Flexible Duct, Aluminum",53000,28/04/2020,28/04/2021,Avesco Marketing Corporation,53000,28/04/2020,28/04/2020,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,1,Not classified,,,
8516,Set of Pakbet for Relief Distribution to Different Barangays in this Municipality,53000,11/05/2020,14/05/2020,Bagels Enterprises,53000,11/05/2020,13/05/2020,LGU -SANTA CRUZ LAGUNA,1,Not classified,,,
8517,MS office Home and Business,53000,25/06/2020,25/07/2020,PG Micro world Computers,53000,25/06/2020,25/07/2020,Southern Philippines Medical Center,1,Not classified,,,
8518,Procurement of Medical Supplies,53000,26/05/2020,27/05/2020,Ten Fifteen Enterprises & Gen Merchandise,53000,26/05/2020,26/05/2020,CLARK DEVELOPMENT CORPORATION,1,Not classified,,,
8519,"Procurement of Disinfectants, Sprayers, Disinfecting Supplies and other Supplies and Materials (Thermal Scanner)",59000,05/05/2020,15/05/2020,SJM Motor Parts and General Merchandise,53000,05/05/2020,05/05/2020,"Municipality of San Jose, Occidental Mindoro",0.898305085,Not classified,,,
8520,Supply and Delivery of Various Drugs and Medicines,72947,22/05/2020,12/06/2020,"Metro Drug, Inc.",52999,19/05/2020,19/05/2020,Talisay District Hospital,0.726541187,Not classified,,,
8521,Office Supplies,55000,16/04/2020,17/04/2020,Hans Office Supply & Office Equipt. Mdsg.,52950,16/04/2020,17/04/2020,Department of Agrarian Reform Regional Office VI,0.962727273,Not classified,,,
8522,Procurement of Medical Supplies for Covid-19 Response,52900,19/06/2020,22/06/2020,JD'S Drug Distribution & Convenience Store,52900,17/06/2020,19/06/2020,Local Government Unit of Naga,1,Not classified,,,
8523,Procurement of Personal Protective Equipment with Purchase Request Number 05-00012 for Operation due to COVID-19 Pandemic,52800,12/05/2020,19/05/2020,Lucky Angel Medical Supply,52800,12/05/2020,12/05/2020,"Municipality of Cabiao, Nueva Ecija",1,Not classified,,,
8524,Supply and Delivery of Plastic Bags for Repacking of Relief Goods,52500,20/04/2020,27/04/2020,King Jan Enterprises,52500,20/04/2020,22/04/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
8525,"Supply and Delivery of 50,000 pieces Plastic Bags for Relief Packs",52500,22/04/2020,29/04/2020,Isabela Livelihood Center & General Merchandise,52500,21/04/2020,27/04/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
8526,Face Mask,52500,18/06/2020,18/06/2020,Jirras Safety and Industrial Supply,52500,06/01/2020,18/06/2020,Philippine Guarantee Corporation,1,Not classified,,,
8527,PROCUREMENT OF 100 UNIT STETHOSCOPE (PLAIN),60000,15/04/2020,23/04/2020,BEROVAN MARKETING INC.,52500,16/04/2020,16/04/2020,Department of Health Central Visayas Center for Health Development,0.875,Not classified,,,
8528,Provision of Meals for EOC,52500,16/06/2020,16/06/2020,Tam's Kainan,52500,16/06/2020,16/06/2020,"MUNICIPALITY OF NABUNTURAN, COMPOSTELA VALLEY",1,Not classified,,,
8529,Supply and Delivery of Meals and Snacks of CSWD Staff/Personnel,52500,05/05/2020,12/05/2020,JMina Catering Services and Gowns,52500,05/05/2020,10/05/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
8530,Procurement of Covid-19 Equipment Requirement for Facility,60000,03/06/2020,08/06/2020,Willy and Sons Corporation,52492,22/05/2020,27/05/2020,Bicol Regional Training and Teaching Hospital,0.874866667,Not classified,,,
8531,Purchase of relief goods re:COVID19,52415.2,07/04/2020,07/04/2020,JC Admiral Trading,52415.2,02/04/2020,02/04/2020,Municipal Government of Moncada,1,Not classified,,,
8532,WIRELESS AC1900 ROUTER and 6 line items,53300,10/06/2020,10/06/2020,BRILLIANT LIGHT TRADING AND ELECTRICAL SERVICES,52397,02/06/2020,10/06/2020,SENATE OF THE PHILIPPINES,0.983058161,Not classified,,,
8533,"Purchase of Welfare Goods (Bihon-Wave 5) for Covid 19 Prevention,Mitigation & Treatment",55056,29/05/2020,09/06/2020,Marikina Food Corporation,52392,29/05/2020,10/06/2020,"Municipality of Tanay, Rizal",0.951612903,Not classified,,,
8534,Procurement of 598 Packs Toilet Tissue Paper,52265.2,26/03/2020,26/03/2020,DBM - Procurement Service,52265.2,18/03/2020,26/03/2020,"PHILIPPINE VETERANS AFFAIRS OFFICE, DND (PVAO)",1,Not classified,,,
8535,Emergency Procurement to mitigate the transmission of covid 19 for official use of Provincial and Municipal Personnel,52250,15/04/2020,03/06/2020,CHOZ-A-MEDZ CORPORATION,52250,14/04/2020,16/04/2020,Department of Agrarian Reform -Capiz- Region VI,1,Not classified,,,
8536,Procurement of Medical Supplies,52200,07/05/2020,15/05/2020,Farmacia Sheena,52200,07/05/2020,08/05/2020,PROVINCIAL GOVERNMENT OF AURORA,1,Not classified,,,
8537,Procurement of Complete Fertilizer,64500,21/05/2020,28/05/2020,Everland Agri Corporation,52200,21/05/2020,22/05/2020,Department of Agrarian Reform-Regional Office XI,0.809302326,Not classified,,,
8538,Procurement of Electrical Supplies for the operational use of BFP Special Rescue Unit (SRU) Caraga,54202.1,17/06/2020,07/07/2020,Gevans General Merchandise,52069.9,16/06/2020,16/06/2020,Bureau of Fire Protection Caraga Region,0.960662041,Not classified,,,
8539,"Reference Electrode, (3112306180), pack",52019.72,25/06/2020,16/07/2020,"METRO DRUG, INC.",52019.72,14/05/2020,14/05/2020,Research Institute for Tropical Medicine (RITM-DOH),1,Not classified,,,
8540,Funeral services,53000,05/05/2020,05/05/2020,FUNERARIA EMILIO AGUIALDO,52000,05/05/2020,05/05/2020,"MUNICIPALITY OF ALFONSO, CAVITE BAC",0.981132075,Not classified,,,
8541,Housekeeping Supplies for Community Isolation Facility,52000,22/05/2020,22/05/2020,Jocim Office Supplies and Equipment Trading,52000,22/05/2020,22/05/2020,"Municipality of San Jose de Buenavista, Antique",1,Not classified,,,
8542,MEDICAL SUPPLIES & LABORATORY INSTRUMENT FOR THE USE OF CDRRMO - COVID 19 OUTBREAK,60000,30/04/2020,15/05/2020,"LTS RETAIL SPECIALIST, INC.",52000,30/04/2020,04/05/2020,LGU Tagum City,0.866666667,Not classified,,,
8543,PROCUREMENT OF TRANSPORT SERVICES,52000,01/04/2020,13/04/2020,PILI TOURIST TRANSPORT SERVICE COOPERATIVE,52000,31/03/2020,31/03/2020,BICOL REGION GENERAL HOSPITAL AND GERIATRIC MEDICAL CENTER (FORMERLY BICOL SANITARIUM),1,Not classified,,,
8544,SUPPLY AND DELIVERY OF 1000 FILTERED TIPS,96000,26/06/2020,01/07/2020,JAYYAM ENTERPRISES,52000,09/06/2020,19/06/2020,ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,0.541666667,Not classified,,,
8545,For the use of Nano Technology R&D Facility & DOST Project,52000,01/05/2020,06/05/2020,Heaven Drops Water Refilling Station,52000,01/05/2020,06/05/2020,CENTRAL LUZON STATE UNIVERSITY,1,Not classified,,,
8546,PROCUREMENT OF WELFARE GOODS,568000,17/06/2020,27/06/2020,EDWIN DAMULLAN,52000,15/06/2020,27/06/2020,LGU SIGAY,0.091549296,Not classified,,,
8547,MEDICAL & LABORATORY SUPPLIES FOR THE USE OF CAGRO - PROVISION OF VARIOUS FARM & AGRI-FISHERY INPUTS TO FARMERS AFFECTED BY CALAMITY - COVID 19,55250,30/04/2020,10/05/2020,"FAIR & SQUARE MARKETING, CO.",52000,30/04/2020,07/05/2020,LGU Tagum City,0.941176471,Not classified,,,
8548,PROCUREMENT OF GOODS-DUMALAMA,52808.4,24/06/2020,26/06/2020,SB STORE,51966.4,24/06/2020,24/06/2020,"Municipal Government of Quezon, Bukidnon",0.984055567,Not classified,,,
8549,Delivery of Protective Equipment,51960,07/05/2020,07/06/2020,RH Kemp Enterprises,51960,06/05/2020,06/05/2020,"LOCAL GOVERNMENT OF MARIA AURORA, AURORA",1,Not classified,,,
8550,Procurement of Goods for Relief Distribution (Powdered Milk),52000,05/05/2020,13/05/2020,MAGIC CLUB INCORPORATED,51870,08/05/2020,11/05/2020,"Local Government Unit - Municipality of San Nicolas, Province of Pangasinan",0.9975,Not classified,,,
8551,Procurement of Various Covid-19 Related Items - Liquid Hand Soap and Foot Bath Solution,115200,01/06/2020,30/06/2020,KHEPRI FOOD ENTERPRISE,51840,01/06/2020,01/06/2020,Philippinne Deposit Insurance Corporation,0.45,Not classified,,,
8552,PO# 20-291 -100 gallon 70% Ethyl Alcohol,75000,23/04/2020,01/05/2020,"LSV GLOBAL VENTURES, INC.",51800,22/04/2020,24/04/2020,MANILA INTERNATIONAL AIRPORT AUTHORITY,0.690666667,Not classified,,,
8553,"Emergency Procurement of PPE, Sanitation reagents and Medicine",52180,19/03/2020,21/03/2020,JREV Pharma Drug Distributor,51780,19/03/2020,21/03/2020,"MUNICIPALITY OF PINILI, ILOCOS NORTE",0.992334228,Not classified,,,
8554,Furnishing & Delivering of Noodles for Food Assistance for Indigent Families in this Municipality,51768,13/05/2020,14/05/2020,GoodWill Shop- On Mart,51768,13/05/2020,13/05/2020,LGU -SANTA CRUZ LAGUNA,1,Not classified,,,
8555,Supply & Delivery of Office Supplies for COVID-19 crisis,53514,08/05/2020,23/06/2020,MERAâ€™S GENERAL MERCHANDISE,51764,07/05/2020,07/05/2020,"Municipality of Bantayan, Cebu",0.967298277,Not classified,,,
8556,Procurement of materials for use in IMT covid19 operation,51760,06/04/2020,20/04/2020,Altecia Enterprises,51760,06/04/2020,06/04/2020,City Government of Malaybalay,1,Not classified,,,
8557,"Supplies  for Preventive , Precautionary & Preparedness",51750,26/03/2020,26/03/2020,Botika ng Bayan sa Pinamalayan,51750,25/03/2020,25/03/2020,LGU-Pinamalayan,1,Not classified,,,
8558,Procurement of diesel and gasoline,51800,17/03/2020,31/12/2020,BELISON PETRON STATION,51601.02,17/03/2020,17/03/2020,"LGU-Belison, Antique",0.996158687,Not classified,,,
8559,Purchase of supplies,51900,15/06/2020,22/06/2020,Iloilo Izeem Commercial,51593,11/06/2020,15/06/2020,Municipality of Alimodian,0.994084778,Not classified,,,
8560,"Purchase of Medicines, Medical Supplies and General Merchandise for use in City Health Office to reduce the exposure of the general population to COVID-19 patients and enhance the surge capacity of ou",955815,16/06/2020,24/07/2020,ASHER ALLIED MARKETING,51570,30/04/2020,22/05/2020,City of Silay,0.053953956,Not classified,,,
8561,Procurement of Medical Supplies,51500,18/05/2020,19/05/2020,MND Medical Diagnostic Supplies,51500,18/05/2020,19/05/2020,CLARK DEVELOPMENT CORPORATION,1,Not classified,,,
8562,Supply and delivery of Covid-19 Response Items,55000,15/05/2020,27/07/2020,Alternative Specialized Industries Inc.,51500,12/05/2020,15/05/2020,COMMISSION ON HUMAN RIGHTS,0.936363636,Not classified,,,
8563,Negotiated Procurement (Emergency Purchase Under Section 53.2) for the Supply and Delivery of Medicines for the use in the Mambusao District Hospital,51500,01/06/2020,09/06/2020,Dynasty Pharmaceuticals,51500,29/05/2020,09/06/2020,Capiz Provincial Government,1,Not classified,,,
8564,Supply & Delivery of Perishable Goods,54202,18/03/2020,31/03/2020,RLPAM Sari-Sari Store,51477,18/03/2020,18/03/2020,"Municipality of Guinayangan, Quezon",0.949725102,Not classified,,,
8565,Supply and Delivery of Disinfectant Spray Pursuant to RA 11469,52500,18/06/2020,18/06/2021,Rebmann Incorprated,51450,16/06/2020,18/06/2020,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,0.98,Not classified,,,
8566,"SUPPLY AND DELIVERY OF (1) UNIT AIR CONDITIONING UNIT, 2HP, WINDOW TYPE",80000,16/06/2020,21/06/2020,COSTSAVER'S SUPERMARKET INC,51400,27/05/2020,04/06/2020,ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,0.6425,Not classified,,,
8567,Multivitamins,51300,06/04/2020,06/05/2020,Zuelling Pharma Corp,51300,06/04/2020,06/05/2020,Southern Philippines Medical Center,1,Not classified,,,
8568,Procurement of Swab Booth for Covid19 testing,51273,29/05/2020,12/06/2020,Malaybalay Glass House,51273,29/05/2020,29/05/2020,City Government of Malaybalay,1,Not classified,,,
8569,Procurement of Chemical,61440,26/03/2020,06/04/2020,Gerboudenviro Public Health Pest Control & Cleaning,51200,24/03/2020,24/03/2020,Region 1 Medical Center,0.833333333,Not classified,,,
8570,Purchase of Eggs and Cellophane Bags to be Distributed to Affected Families due to COvID-19,54665,07/04/2020,07/04/2020,77CSV CORPORATION,51165,07/04/2020,07/04/2020,"MUNICIPALITY OF MOLAVE, ZAMBOANGA DEL SUR",0.935973658,Not classified,,,
8571,Meals and snacks for frontliners,66000,30/04/2020,13/05/2020,Lot-9 Catering Services,51150,30/04/2020,30/04/2020,Local Government Unit of Alcala,0.775,Not classified,,,
8572,"Disinfectant, hand, alcohol-based, with propan1-ol, propan2-ol, mecetronium ethyl sulphate, with pump, 1,000 ml per bottle",56000,15/07/2020,14/08/2020,"SURGIKLEEN, INC.",51121.7,25/04/2020,25/04/2020,Research Institute for Tropical Medicine (RITM-DOH),0.9128875,Not classified,,,
8573,PROCUREMENT OF TWINE ROPE FOR RE-PACKING OF FOOD PACK.,51000,23/03/2020,03/04/2020,JOY'S GENERAL MERCHANDISING,51000,23/03/2020,24/03/2020,Department of Social Welfare and Development Field Office IX,1,Not classified,,,
8574,PROCUREMENT OF 3 UNIT BP MONITORING KIT (BP APPARATUS STAND TYPE AND STETHOSCOPE),75000,28/05/2020,23/06/2020,VARIANCE TRADING CORPORATION,51000,23/06/2020,23/06/2020,Department of Health Central Visayas Center for Health Development,0.68,Not classified,,,
8575,DELIVERY OF MACHINERY AND EQUIPMENT,51000,22/04/2020,22/05/2020,XIAN DAVIN ENTERPRISES,51000,21/04/2020,21/04/2020,"LOCAL GOVERNMENT OF MARIA AURORA, AURORA",1,Not classified,,,
8576,Procurement of Multi-Vitamins (BGCM),51165,11/06/2020,16/06/2020,RAZMER'S TRADING,51000,10/06/2020,15/06/2020,Local Government Unit - Santa Rosa,0.996775139,Not classified,,,
8577,SUPPLY AND DELIVERY OF WATER DISPENSER,51000,24/03/2020,31/03/2020,ABCM ENTERPRISES,51000,19/03/2020,24/03/2020,City Government of Panabo,1,Not classified,,,
8578,Procurement of ESR tubes,51000,29/04/2020,06/05/2020,MRL CYBERTEC CORP.,51000,27/04/2020,29/04/2020,Jose B. Lingad Memorial General Hospital,1,Not classified,,,
8579,Emergency Procurement under Bayanihan Act of free range chicken for ARBold support to women in crises (150 heads of chicken @ 1 kilo each and 600 kilos feeds),51000,22/05/2020,27/05/2020,Agricons Impex Co.,51000,22/05/2020,26/05/2020,DEPARTMENT OF AGRARIAN REFORM,1,Not classified,,,
8580,Procurement of Various Construction Materials,50934,29/04/2020,06/05/2020,DIODORA'S ENTERPRISES,50934,28/04/2020,28/04/2020,MUNICIPALITY OF SAINT BERNARD,1,Not classified,,,
8581,COVID-19 Response Supplies,50922,03/06/2020,10/06/2020,DBM- Procurement Service Region 10,50922,03/06/2020,10/06/2020,PAROLE AND PROBATION ADMINISTRATION REGION X,1,Not classified,,,
8582,PASSover:ARBod Move for Deliverance of our ARBs from the COVID-19 Pandemic Component-2 Farm Productivity Assistance Program of DAR to ARBs,96300,22/06/2020,30/06/2020,Ellen's Agri Vet Supplies,50850,22/06/2020,22/06/2020,DAR-PALAWAN,0.528037383,Not classified,,,
8583,"Supply & Delivery of Medical, Dental and Laboratory Supplies & Materials",55500,22/05/2020,01/06/2020,Hopps Marketing Inc.,50715,29/04/2020,22/05/2020,National Irrigation Administration - Central Office,0.913783784,Not classified,,,
8584,Procurement of Vitamin C (Ascorbic Acid),50700,17/06/2020,19/06/2020,G-COR Pharmacy,50700,15/06/2020,15/06/2020,LGU-Remedios T. Romualdez,1,Not classified,,,
8585,Procurement of Construction Materials,51354,20/04/2020,05/05/2020,ABZKO Construction Corp.,50566,16/04/2020,20/04/2020,Provincial Government of Agusan del Sur,0.984655528,Not classified,,,
8586,Procurement of BAg,50500,21/04/2020,22/04/2020,B.M. Singh General Merchandise,50500,21/04/2020,22/04/2020,City Government of Baguio,1,Not classified,,,
8587,Purchase of Palay Grains fr Relief Purposes,150000,11/05/2020,18/05/2020,Pedro Laventa,50490,08/05/2020,08/05/2020,"MUNICIPALITY OF SUYO, ILOCOS SUR",0.3366,Not classified,,,
8588,Covid19 Response item,50440,11/05/2020,11/05/2020,DBM - Procurement Service,50440,11/05/2020,11/05/2020,Department of Trade and Industry - Main,1,Not classified,,,
8589,Supply and Delvery of Tent Canvass 5m x 7m,50400,17/03/2020,17/03/2021,MEGASDM Industrial Sales,50400,17/03/2020,17/03/2020,NATIONAL KIDNEY AND TRANSPLANT INSTITUTE,1,Not classified,,,
8590,PROCUREMENT OF 3RD BATH DISINFECTANT FOR BJMPRO-NCR,50400,16/04/2020,27/04/2020,CENTER POINT SALES AND TRADING INC,50400,15/04/2020,15/04/2020,BJMPRO-NCR,1,Not classified,,,
8591,Supply and Delivery of Supplies and Equipment use for COVID-19 Operation,50385,31/03/2020,13/04/2020,Mega Mura General Merchandise,50385,30/03/2020,06/04/2020,Municipality of Malay,1,Not classified,,,
8592,Procurement of Goods for Relief Operation due to COVID-19,50382,22/04/2020,29/04/2020,D&S Drugmart,50382,22/04/2020,22/04/2020,"Municipality of Cabiao, Nueva Ecija",1,Not classified,,,
8593,Procurement of Access Point and Router for the official use of Free-Wifi for All Program to be used in COVID-19 Centers/Facilities,52600,17/04/2020,27/04/2020,CLOUDSTORE IT WAREHOUSE ENTERPRISE,50300,17/07/2020,21/07/2020,Department of Information and Communications Technology-Luzon Cluster 3,0.956273764,Not classified,,,
8594,Purchase of Goods,50280,25/03/2020,25/03/2020,3K's Sari-Sari Store,50280,25/03/2020,26/03/2020,MUNICIPALITY OF MAKATO,1,Not classified,,,
8595,Regional Office minimum health standard supplies for covid 19 prevention,50220,25/05/2020,28/05/2020,HLYC Trading,50220,25/05/2020,28/05/2020,Department of Science and Technology - MIMAROPA,1,Not classified,,,
8596,Procurement of Various Drugs and Medicines for BJMP Personnel for the month of April 2020,50130,02/04/2020,17/04/2020,Shan Pharmaceutical  Dealer and Drugstore,50110,02/04/2020,02/04/2020,BUREAU OF JAIL MANAGEMENT AND PENOLOGY REGION 5,0.999601037,Not classified,,,
8597,Procurement of Materials for Improvement of Isolation Facilities,50080,23/06/2020,30/06/2020,"TOPHOME BUILDERS, INC.",50080,26/06/2020,26/06/2020,"Local Government Unit (LGU) of Pintuyan, Southern Leyte",1,Not classified,,,
8598,Procurement of Various Supplies with Purchase Number 03-00110 for Operation due to COVID-19 Pandemic,50029.35,12/03/2020,12/03/2020,H.Y Bazaar,50029.35,12/03/2020,12/03/2020,"Municipality of Cabiao, Nueva Ecija",1,Not classified,,,
8599,Meals and Snacks,50000,30/04/2020,06/05/2020,Maricel's Catering Services,50000,14/04/2020,14/04/2020,"LGU-Labo, Camarines Norte",1,Not classified,,,
8600,Procurement of Various Items for Establishment of Temporary Medical Facility - Stainless Steel Wash Basin,65000,28/05/2020,30/06/2020,Khepri Food Enterprise,50000,28/05/2020,28/05/2020,Philippinne Deposit Insurance Corporation,0.769230769,Not classified,,,
8601,Supply and Delivery of Assorted Vegetables,50000,28/04/2020,01/05/2020,ARMANDO SEGAY,50000,29/04/2020,01/05/2020,Municipality of Quezon,1,Not classified,,,
8602,Vehicle Rental- Transportation Service for DSWD Skeletal Staff,50000,20/04/2020,04/05/2020,SOLARTECH INC.,50000,17/04/2020,17/04/2020,"DSWD FO VIII, MAGSAYSAY BOULEVARD, TACLOBAN CITY",1,Not classified,,,
8603,Purchase of washer hose,50000,20/05/2020,04/06/2020,Jamm's Office and School Supplies,50000,20/05/2020,04/06/2020,City Government of Cadiz,1,Not classified,,,
