Name Of Awarded Company,Amount Awarded (in hundred thousands),Average Date Difference
TESORO Enterprises,60.1514,8.25
"RBGM MEDICAL EXPRESS SALES, INC.",60.258,12.5
AC3J CORPORATION,60.518840999999995,10.2
PRO-LIFE HEALTHCARE SYSTEMS CORP.,60.63,15.0
FARMON GRAINS AND GREENS,60.6744,31.0
"Central Isulan, MPC",60.8,5.0
JEREKO'S CATERING,61.171,30.0
RJMQ Trading,61.302,7.5
Random Builders,61.358414,82.5
"STO. ROSARIO MEDICAL SUPPLY AND EQUIPMENT, INC.",61.487835,4.0
SUNTECH TRADING & MARKETING,61.57,11.8
Pro-life Healthcare System Corp.,61.6,30.0
MACKYâ€™S CARINDERIA AND CATERING SERVICES,61.8103,34.75
Bigfoot Construction and Supply,61.989812300000004,122.0
E.I Marketing,62.6452,15.0
K101 Pharma,62.74,18.5
JUNIELVS FARM AND AGRIVET SUPPLIES,63.0,20.0
Tabaco American Grocery Inc.,63.1292,15.6
Procurement Service,63.1476133,19.58823529411765
Variance Trading Corp.,63.25,62.0
Prime Luck Enterprises,63.25,6.333333333333333
MAC TYCOON MARKETING,63.298,5.833333333333333
FLORY & BERNIE RICE TRADING,63.6075,13.5
"METROTRADE MARKETING AND DISTRIBUTOR, INC.",63.695,7.0
GT MARKETS CORPORATION,64.101,22.0
AVE DRUG,64.12176,15.0
EFG MED DISTRIBUTOR,64.372,30.25
LVS COMMERCIAL,64.592115,4.142857142857143
Dryws Enterprises,64.953307,30.5
STA. ANA HEALTHCARE PLUS CORPORATION (SAHPC),65.0,6.0
ZUELLIG PHARMA CORPORATION,65.432,8.5
"NPK Medical Trading, Inc.",65.66,34.5
G.R.G. Marketing and Services,65.6713,4.0
MCMANA FOOD SERVICES,65.8112,5.0
HJ HARDWARE,65.8999,21.0
J AGRO TRADERS CORP,66.0,7.0
AMI Equipment,66.0,60.0
IMV RICE AND PALAY TRADING,66.15,7.5
Botika ng Bayan sa Pinamalayan,66.1658,31.0
RBGM Medical Express,66.1785,18.5
LUCKU J 888 RICEMILL CORPORATION,66.3,7.0
RHENAMAE'S TRADING,66.52,11.333333333333334
"LIFELINE DIAGNOSTIC SUPPLIES, INC.",66.6095,13.75
Agricons Impex Co.,66.81229,9.363636363636363
JSGA Enterprises,67.05245,2.6666666666666665
BCVR Prime Enterprise,67.0819816,5.5
Agua Visions Trading,67.362,14.0
Blu Enterprises,67.435,6.6
EVERYDAY ENTERPRISE,67.45,7.0
LIFECORE BIO INTEGRATIVE INC.,67.5,7.0
M & N GENERAL MERCHANDISE,67.5,15.0
"Endure Medical, Inc.",67.5055,92.28571428571429
"LONGPING TROPICAL RICE DEVELOPMENT,INC",67.5324,21.0
"SEEDWORKS PHILIPPINES,INC",67.59932400000001,21.0
DONYA ARCELY TRADING,67.7021,24.333333333333332
Megatrade Enterprises,67.71058,12.5
KELP MARKETING,67.77,2.0
NRVG Merchandising,67.8291,7.714285714285714
Gonzalbo Store,67.829932,8.0
"Seedworks Philippines, Inc",68.208,33.0
Romanique's Office Supplies & General Merchandise,68.33279,2.5
KCX' SUPPLY WHOLESALING,68.34,7.0
LUCK J 888 RICE MILL CORPORATION,68.4115,2.0
E.F. Faderon Ricemill,68.643,30.0
INFINITRIX MEDICAL EQUIPMENT AND SUPPLIES TRADING,68.6998,18.5
PV General Merchandise,68.79863,7.0
NEIM TRADING,69.22925,30.0
ALLIED HOSPITAL SUPPLY INT'L CORP.,69.45,9.5
DANIELA MERZ RICE MILL RICE PALAY DEALER,69.8168,3.0
DOERS Multi-Purpose Cooperative,69.9411675,25.75
GTM RICE AND CORN MILL,70.0,9.0
"A.M.I. EQUIPMENT SERVICES AND SOLUTIONS, INC.",70.0,14.0
"Pert,Incorporated",70.0,30.0
Bacolod Good Rice Commercial Company,70.0,8.0
Victor Del Rosario Rice Mill orporation,70.11,2.0
Omnibus Bio Medical Systems Inc,70.56,14.0
SUPER SHOPRITE CENTER INC.,70.68247,12.25
Camsur Multi-Purpose Cooperative,70.8795,13.75
"Tacurong Fitmart, Inc.",71.00841,9.0
GOLDSEAL MEDICAL TRADING CORP,71.00994,5.0
Andy & Fe Rice Supply,71.142,9.666666666666666
"GOLDEN BAT (FAR EAST), INC.",71.26125,41.5
Neala Enterprises,71.3085,12.333333333333334
RJ AND MJ MERCHANDISE,71.56521,64.0
Medical Center Trading Corp.,71.76374,65.42857142857143
Enhanced Medical & Industrial Enterprises,71.8,24.6
NVM MARKETING INC.,72.0583,60.6
Pharma Business Management Trading (PBM) Corp.,72.06255,3.857142857142857
VMD Rice Mill,72.095517,7.0
GOSHEN MEDICAL SUPPLIES,72.372,1.0
Merijr Enterprises Incorporated,72.4,35.5
PCGEMPC,72.55267,7.0
IIT TRADING,72.798,7.0
"A.M.I. Equipment Services and Solutions, Inc.",73.0,15.5
GLOBAL MEDICAL SOLUTIONS INC.,73.0,15.0
"Biosyn Healthcare Systems, Inc.",73.2,8.0
COTABATO DBG GENERAL MERCHANDISE,73.5,6.0
leean medical & surgical supplies,73.604832,9.0
GRAMAN MEDICAL TRADING,73.739064,7.0
BB-JOY STORE,73.744,7.0
Versaflex Enterprises,73.8,7.0
Zafire Distributors Inc.,73.8,7.0
M. B. Ang Construction and Supply,73.8807827,20.0
Cisco Engineering Industries,73.9929985,19.5
PROGRESSIVE Grains Milling Corporation,74.344,3.0
BRNZEN CONSTRUCTION,74.85210070000001,44.0
Jedeco Trading Corporation,75.0,15.0
MERIJR ENTERPRISES INC.,75.0,8.0
Baliwag Transit Inc.,75.2192,92.0
Marquin GeneraL Merchandise,75.25,25.0
"Panapino Holdings, Inc.",75.705,29.4
DJLMBR RICE POULTRY SUPPLY,76.0,30.0
ONE ILOCOS NORTE SEED PRODUCERS COOPERATIVE,76.0,32.0
First Bay Pharma Distributor,77.003434,6.5
77CSV CORPORATION,77.710757,3.03125
Green Trust Medical Trading,77.897,7.0
medicotek inc,78.0,13.0
Pink 24/7Pharmacy Corp,78.0,30.0
GOLD FORTUNE 3 GENERAL MERCHANDISE,78.133,12.625
Jercent Enterprises & Construction,78.296,9.0
La Sencillez Trading,78.40145,10.0
CECCION TRADING,78.54,7.0
KURT WAYNE TRUCKING SERVICES,78.7928,7.0
Autospeedygo Corporation,79.0,19.0
G.Y TRADING,79.1,8.0
Meeco Enterprises,79.120275,12.333333333333334
Enhanced Medical and Industrial Enterprises/ Onofre A. Deganos,79.2976104,25.0
RMJA TRADING & GENERAL MERCHANDISE,79.3387525,11.0
PURE GOLD PRICE CLUB INC.,79.635,29.0
PAYALIN TRADING INCORPORATED,79.9995,3.0
"BANTUG AGRICULTURAL MULTIPURPOSE COOPERATIVE, INC.",80.0,5.0
BOHOL QUALITY CORPORATION,80.180969,3.8
Tesoro Enterprises,80.22315,3.0
MANILA HEALTHTEK INC.,80.4132,22.0
Scionetrade Corporation,80.478,11.0
De Gramm Laboratory Supply,80.52,11.0
VARIANCE Trading Corporation,81.2975,4.0
"OMNIBUS BIO-MEDICAL SYSTEMS, INC.",81.538,84.0
Misamis Farmers Multi-purpose Cooperative,81.8,11.0
Multiline General Merchandise,81.887228,5.333333333333333
TRISTAN TEJADA CONSTRUCTION,82.51488,59.0
CHARLYN GRAINS STATION,82.585,13.5
Cymmer Sari-Sari Store and Food Supply,82.70694,10.0
CFB MARKETING AND GENERAL MERCHANDISE,83.116419,10.090909090909092
ROBUSTAN INC.,83.5,10.0
"Metro Rapid Transit Services, Inc",84.0,30.0
"Manila Healthtek, Inc.",84.0,2.0
Respicare Enterprises,84.62292,10.6
LEEAN MEDICAL & SURGICAL SUPPLY,84.95476,18.4
RDT Rice Trading,85.0,2.0
JANNAMER RICE WHOLESALE AND RETAILER CORPORATION,85.0,36.0
PAMPANGA HOSPITAL PRODUCT,85.28,22.0
"Cebu Air, Inc.",85.35871,5.142857142857143
"JARDECO HEALTH SYSTEMS, INC.",85.41755,7.5
STONE OF DAVID CORPORATION,85.6442,3.5
D Lacson Rice and Palay Dealer,85.71062,9.0
CONDRING MARKETING,85.8,1.0
Valenzuela Chicken and Eggs Dealer,86.0539784,1.5
Premium Grains Center,86.4,7.0
"RG Meditron, Inc.",86.7,18.5
Genruz Construction and supplies,86.74189039999999,7.0
"TACURONG FIT MART, INC.",86.77,27.0
DAVAO ORIENTAL SEED PRODUCERS COOPERATIVE (DOSEPCO),87.118,21.0
"National Food Authority - Ipil, Zamboanga Sibugay",87.5,8.0
BRP JR TRADING,87.555,8.333333333333334
Râ€™CEL Gen. Contractor & Gen. Mdse.,88.4435514,29.0
ROSETAD STORE,88.5341,30.5
JLH Medics Enterprise,88.6348268,4.0
Bi-suns Build Ventures,88.899665,7.0
A3 General Merchandise/Virac Fortune Enterprises/Greenstone Enterprise,88.924,15.0
ST. ALMERS CONSTRUCTION AND ENTERPRISE,89.01661,60.0
RITE ONE PHARMA,89.062,9.0
"Instrumix Supplier,Inc",89.1,16.666666666666668
Calanasan LGU Employees Multi Purpose Cooperative,89.98,28.0
Calanasan LGU Employees Multi-Purpose Cooperative,89.98,28.0
Bansay Seafoods Restaurant and Cartering Services,90.0,15.0
HEALTHSOLUTIONS ENT,90.0,13.0
AMB . ALC HOLDINGS & MANAGEMENT CORPORATION,90.0,37.0
Apex Foods Distribution Corporation,90.1348,7.0
Dane Degala Castillo Pharmacy,90.14205,14.0
ECO-HYGIENE INSTITUTIONAL SALES CORPORATION,90.18,3.0
J AGRO TRADERS CORP.,90.5,7.0
Cred General Trading,90.64,23.0
LOCAL FARMERS,90.992,15.0
Cotabato Integrated Seeds Producers Marketing Cooperative,91.2,5.0
Gibrosen General Merchandise,92.0,61.0
"GETZ Bros. Philippines, Inc.",92.344,365.0
"LTS RETAIL SPECIALISTS, INC.",92.4185,7.0
KCX'SUPPLY WHOLESALING,92.4708,7.0
BENZEN CONSTRUCTION,92.7901042,31.5
Kairos Pharma - Medical Supplies and Equipment,92.8103,18.5
WIL-LYS CEREAL TRADING CORPORATION,92.9604,14.0
Silver Saint Pharmaceutical,93.81257,25.25
COLLIN'S PHARMACY,94.09305,17.375
LUCKY MED TRADING,94.28112,16.333333333333332
Health Line Medical Equipment,94.3,10.0
Jhall Marketing & Services,94.8864,3.0
Everyday Enterprise,94.975,15.333333333333334
VTLC TRADING,94.987,31.0
Chezka Rice Mill,95.041,8.333333333333334
Carmy Enterprise,95.199945,9.0
Labsolution Technologies Inc.,95.35,22.0
KCX Supply Wholesaling,95.6713476,11.0
Rainphil Inc,95.79,15.333333333333334
variance trading corp,95.9706,15.0
COGNOA INTERNATIONAL INC.,96.36978,59.5
CRISHAMAY LANZ ENTERPRISES,96.6155,7.0
Max's Kitchen Inc.,97.2,61.0
Shan Pharmaceuticals Dealer & Drugstore,97.5,3.0
Alturas Supermarket Corporation,97.6665,18.5
VSAM PHARMACEUTICAL PRODUCT DISTRIBUTION,98.035143,5.666666666666667
DBM - Procurement Service,98.2449742,13.727272727272727
TSH CORPORATION,98.58574,1.0
LANVIN ENTERPRISES,99.0,4.666666666666667
EMJ Enterprises,99.1,7.0
3E Drug,99.11175,19.333333333333332
CAMSUR MULTI-PURPOSE COOPERATIVE,99.21058,22.333333333333332
EASYLIFE MEDICAL ENTERPRISE,99.4715032,25.6
"AMI EQUIPMENT SERVICES & SOLUTIONS, INC.",99.5,15.0
YAP PETRON MEGA STATION,99.58,22.5
GR CASTILLO MEDICAL SUPPLIES,99.7864,51.333333333333336
Goro Marketing,99.920135,31.0
"EDFROBON CONSTRUCTION SERVICES, INC.",99.97079210000001,79.0
CASTOR AGRI BUY AND SELL,99.99,38.0
Rosen-Lian Trading,99.9936,7.0
LOLA TINAY CATERING SERVICES,99.9996,16.333333333333332
LPO Enterprises,100.127548,2.1666666666666665
M3C TRADING,100.3724,12.2
Prime Medix Enterprises,100.4,29.166666666666668
MARITON GROCERY,100.44629,20.666666666666668
"MODERN TIME ENTERPRISES, INC.",100.608,20.0
East Tierra Resources Trading Inc.,100.8901075,31.0
EMMIE GROCERY STORE,101.0816,14.0
Triple â€œMâ€ Construction,101.11156890000001,36.0
DIAGNOSTICA TRADING,101.30689,17.444444444444443
NOVUS AVENIR PHARMACEUTICALS,101.3730343,2.0
EVER BLUE RICE ILL & GRAINS TRADING,102.594,15.0
"Lifelink, Inc.",102.951,275.5
King Jan Enterprises,103.63941639999999,7.0
D' Friendly Multi Sales Inc.,103.9411,17.0
WTL Apartment and Warehouse,104.0,15.0
SEED TO RICE PRODUCERS COOP. (S2R),104.1696,21.0
MMJS PHARMACY AND MEDICAL SUPPLIES,104.87654400000001,6.6875
"HEALTHWELNESSLIFESTYLE,INC.",105.0,2.0
SABCARE MARKETING,105.549086,12.833333333333334
RM Medical Supply and Equipment,105.685,19.6
"Filkohayes Services, Incorporated",106.0,15.0
"LONG PING TROPICAL RICE DEVELOPMENT, INC.",106.17876,20.0
Cebo Development Corporation,106.726938,7.0
LICAY GENERAL MERCHANDISE,106.8875245,32.17391304347826
Jarcare Trading Corporation,107.115,1.0
JASVER COMMERCIAL,108.417,2.0
"Pacificphil Distribution Group, Inc.",108.5276,9.666666666666666
MILTEC Trading,108.75,10.0
VINOYA BABY CONO,109.0908,20.0
Corbox Corporation,109.098176,11.25
NEMRAC MEDICAL AND PHARMA SUPPLIES CORP.,109.1368,30.0
GUIRUELA'S MEAT AND FROZEN PRODUCTS STORE,109.16589,24.0
ACVI ENTERPRISES,109.99996,10.5
PRIME MEDIX CORP,110.0,41.0
AM EMNACE STORE,110.0,11.0
Century Pacific Food Inc.,110.0,13.0
GOLDMAN ENTERPRISE,110.0,11.0
Globel's Store,110.1325,1.8
SY SU,110.2,99.0
Top One Pharma,110.2630615,16.5
Anascomm Electronics Supply Co.,110.6,364.0
"EQUILIFE MEDICAL EQUIPMENT SUPPLIES & SERVICES, INC.",111.36076,123.0
DAILY DOSE PHARMACY,112.064,81.8
HEBA ENTERPRISES,112.79412,10.0
ZYMED MEDICAL DISTRIBUTORS,112.8993375,10.5
D'BEAM GENERAL MERCHANDISE CORP.,114.0205,82.4
EIGHT KIDS CONSTRUCTION AND TRADING,114.3037491,120.0
Puring Rosita Candy Store,114.33005,8.0
"LTS RETAIL SPECIALIST, INC.",114.937846,8.428571428571429
OWEN Enterprises,114.975,7.0
U-Net Distributors Corp.,115.0,10.0
COUNTRY RICE MILL AND TRADING CORPORATION,115.135,10.0
Joshuashane Trading,115.26420560000001,5.333333333333333
"PL JUAN CONSTRUCTION, INC.",115.6085109,30.0
JRJL Trading,116.6,13.0
K-9 EXPONENT TRADING,117.6924,7.0
MDX Construction,118.5298367,59.0
DREI Enterprises,118.6985,14.0
Shan Pharmaceutical Dealer and Drugstore,119.53093,10.428571428571429
VICTORINA P. CHAN CO.,120.0769432,10.166666666666666
NOVARAE BIOTECH,120.6,15.0
JEWEL JADE ENTERPRISES,121.096,30.0
Eight Integrated Development Corporation,121.1288,62.0
Solidgroup Technologies Corporation,121.5730273,14.0
JLH Medics Enterprises,121.69069640000001,8.0
JUNIPER 3 PROC. CORP,122.0,11.0
BEROVAN MARKETING INC.,122.334084,17.071428571428573
SUPER VALUE INC.,122.38,8.0
"WOODRIDGE BUILDERS CONSTRUCTION & SUPPLIERS ,INC.",122.5,3.0
GOLDENYAN ENTERPRISES,122.5,4.0
LINDONGAN ENTERPRISES,122.5,5.0
"Woodridge Builders Construction & Supplies, Inc.",122.5,66.0
"LTS RETAILS SPECIALIST, INC.,",122.814,10.0
Centro-Med Enterprises,123.6955,19.25
Cebu CKS Commodities Corp.,123.716,12.5
KINGFIELDS RICE SOLUTIONS INC.,124.2,6.0
Alyhar Marketing,125.86784,12.666666666666666
"Yana Chemodities, Inc.",126.1254,227.5
MASFAR INTERNATIONAL TRADING CORP.,127.0025,2.0
"Wamrus Trading, Inc.",127.5,10.0
"EMMAIAH MARKETING AND SERVICES, INC.",128.23982,30.0
"LIFELINE DIAGNOSTICS SUPPLIES, INC.",128.46532,69.35
JV of Kcrown Enterprise and Avila Medical and Hospital Supplies,128.7495,30.0
Dynamic Global Soft Inc.,128.93,20.5
Bodeguita Enterprises,129.29873800000001,13.6
LORD ELGYN MERCHANDISING,129.99296,81.0
"Lifeline Diagnostics Supplies, Inc.",130.41876,38.833333333333336
KOLONWEL TRADING,132.0,2.0
DEI Properties Inc.,132.27,97.0
VARIANCE TRADING CORP,133.10135,9.0
FRESHMARKER TRADING,133.6995,1.0
Metro Mobilia Corporation,135.0,30.0
Unimasters Conglomeration Inc,135.0,5.0
"Respicare Enterprises, Inc.",135.25,83.16666666666667
Bagels Enterprises,135.85688,2.5833333333333335
FORTBO ENTERPRISES,137.2,5.0
JIO RICEMILL & GRAINS TRADING,138.0,7.0
QUASAR Trading,139.00002,8.75
Shooting Star Trading,139.351508,5.666666666666667
"Metro Retail Stores Group, Inc.",139.7487715,8.4375
RILEX RICE TRADING,139.75,1.1428571428571428
"RBGM Medical Express Sales, Inc.",141.602,29.285714285714285
SONCHEL PHARMA DISTRIBUTORS,141.95,9.666666666666666
Multi Health Solution Enterprises,142.283,12.333333333333334
BEB's Dry Good Store,144.36936,6.5
Perking Elmer Instruments,144.7903,56.0
"AMI EQUIPMENT SERVICES AND SOLUTIONS, INC.",146.93,32.333333333333336
GY TRADING,146.96313,12.666666666666666
Rayanton Farms & Livestock Corporation,147.84,11.0
UNITED JT TRADERS INCORPORATED,148.4,8.0
Tacloban 6500 Inc. (Formerly LTZ Construction and Supply),148.904315,25.0
Ferdielaine Enterprises,149.6,2.0
NAC Marketing,149.97522,30.0
J.M DIZON PHARMACEUTICALS & GEN. MDSE.,150.0,30.0
"RICA MARKETING OF BACOLOD, INC.",150.0,4.0
"CGC Grains, Incorporated",150.162,7.0
Chels and Clyde Trading,150.36228,7.0
HERLYN'S STORE,152.008,7.0
ER SUPERMALL,152.1610264,13.714285714285714
HYPERTRADE DISTRIBUTORS,152.5,31.0
"BEROVAN MARKETING, INC.",153.9336,30.53846153846154
Bullseye Solutions Inc.,154.0,6.5
Loriel Pharmaceuticare,154.7616,19.0
NEGROS MEDICAL TRADING,155.055,14.0
ALJERON MEDICAL ENTERPRISES,155.246,152.5
ASSIL ENTERPRISES,155.57827,73.0
PAULEN GENERAL MERCHANDISE,156.70229799999998,9.0
IAuto Inc.,157.5,11.0
"Seedworks Phils., Inc.",158.85,13.0
WMA BUY AND SELL,159.41133,2.0
FUTURISTIC TRADING AND CONSTRUCTION,159.9772667,82.5
PATIENT CARE CORPORATION,160.3039133,33.5
GJK PHARMA DISTRIBUTORS,160.43225,7.0
Patient Care Corporation,160.4725666,117.83333333333333
L.G. Moreno Rice Supply,160.798,27.25
CASIPIT CONSTRUCTION AND SUPPLY,160.8058521,82.5
F AND N ENTERPRISES & GEN. MERCHANDIZE,162.0283825,1.0
Kairos Pharma -Medical Supplies and Equipment,162.509,30.0
STERITEX Medical System,162.6035,16.75
MKG TOLENTINO TRADING,163.8604,10.0
"EXTRA ORDINAIRE JANITORIAL & MANPOWER SERVICES, INC.",164.845605,198.0
ALTURAS SUPERMARKET CORPORATION,165.0541244,10.0
A.G. CAPARROS MART,167.4086649,14.714285714285714
NAC MARKETING,170.29586600000002,30.0
MRL CYBERTEC CORPORATION,170.92105,26.857142857142858
R.F. FLORES Construction,172.46847,395.0
Real Star Rice Center,173.4075,2.3333333333333335
Central Mart General Merchandise,173.93265,28.928571428571427
Affordrugs and General Merchandise,174.2975,6.578947368421052
LKS Pharmacy,175.95995,25.25
Sigayle Rice Wholesaler,176.25,15.0
E. Llana Marketing & Industrial Enterprises,177.79584,10.0
A-RAMP TRADING,178.3464,15.0
RESPICARE ENTERPRISES,178.7,16.25
ARMA-MED TECHNOLOGIES,179.0,11.0
Shimadzu Philippines Corporation,179.0,31.0
KNC RICE RETAILER AND WHOLESALER,181.502995,3.0
ALMERIA INTERNATIONAL CONSTRUCTION CORP.,182.15,14.0
MCP'S MED-SHOP,182.2536,18.5
FAST AUTOWORLD PHILIPPINES CORPORATION,184.8,30.0
Megadeli Marketing Inc,184.99502,6.5
South East Star Enterprises,185.7662897,4.153846153846154
GEORGEINA'S TRADING,187.9191,17.857142857142858
MEDSPECS SOLUTIONS INC.,189.36148440000002,17.333333333333332
VARIANCE TRADING CORPORATION,190.51165,28.1875
NEXGEN BIODEVICES,192.447,15.2
DRUGNEXTDOOR CO.,194.0,30.0
TECHNOMED INTERNATIONAL INC.,194.664,18.5
ABL MEDICAL EQUIPMENT TRADING,195.0,35.0
Supervalue Inc.,195.60928,7.5
B-SHINE PHARMA,196.74953,15.785714285714286
RMQ Grains Center Corporation,196.965,7.0
CENTRO SUPERSALES INC.,196.992,73.66666666666667
"DAVAO SAN-EI TRADING, INC.",197.0,12.0
Phil Pharmawealth Inc.,197.4725,7.333333333333333
Owen Enterprises,197.749034,11.428571428571429
INFINITE MEDICAL TRADING,197.975,7.0
ARXMEDICA MARKETING,198.72738,12.11111111111111
Jams Lube-rication Tech. & Marketing Co.,199.989972,6.0
"National Food Authority - Ipil, ZSP",200.0,30.0
GLOBAL AGRIVENTURES MARKETING COOPERATIVE,200.0,46.0
"Medmaster, Inc.",200.0,30.0
SAMIR MINI-MART,200.0,99.0
"HEALTHSOLUTIONS ENTERPRISES, INC.",202.0,38.0
ZMJ COMMERCIAL,202.83446,17.666666666666668
DPIAMARCO,203.16,16.0
UZIEL PHARMACEUTICAL PRODUCT DISTRIBUTION,203.55,7.0
EXELMED PHARMA TRADE,205.629125,29.333333333333332
"Joint Venture of Global Medical Technologies Manila, Inc. and Endec, Inc.",207.424,15.0
PEPSONS TRADING,208.1124,7.0
Josmef Enterprises,208.77919,22.5
ASHLI RICE TRADING OR CATALINA PAGBA,209.0,3.4
Lafayette Pharmaceuticals,209.49835579999998,14.0
Arella Heart Bag,211.95,8.0
JOSMEF ENTERPRISES,212.15113649999998,9.0
Invictus Dental Supplies Trading,213.2752081,4.0
V-RICH TRADING & COMPUTER SUPPLIES,215.02777,4.0
AMI EQUIPMENT SERVICES AND SOLUTIONS,215.1787,15.0
BD SCIENTIA MEDICAL AND DIAGNOSTIC SUPPLIES,215.7,10.0
FFJJ Construction,216.78,41.0
SACECO TRADING,217.869,1.6666666666666667
"VR Rice Mill, Rice and Corn Dealer",220.0,10.0
Variance Trading Corporation,220.21771,22.571428571428573
"Macrin.ph, Inc.",222.0,60.0
JAIME SANTOS RICE MILL,222.55,5.25
RIGHT AGRI DEVELOPMENT INC.,225.0,23.0
MTLJ GENERAL MERCHANDISE,227.1365,11.153846153846153
West Visayas Federation of Multi-Purpose and Seed Producers Cooperative,228.0,30.0
Joced Enterprises,230.410545,11.2
DFR GENERAL MERCHANDISE,230.7475,30.0
BAP Construction and Development Corporation,231.5323835,90.0
LAFAYETTE PHARMACEUTICALS,232.0110675,3.25
"Omnibus Bio Medical Systems, Inc.",232.014,142.33333333333334
MAICA GROCERY STORE,233.53575,15.0
"A.H. SHOPPERS MART, INC.",233.7945,3.5
CEBU CKS COMMODITIES CORP.,235.0,31.0
"Ki gfields Rice Solutions, Inc",235.0,15.0
Euparex Pharmaceuticals Inc.,235.19735,13.0
NINO KARL JAY TRADING,237.377,10.857142857142858
AMANSEC BUILDERS,239.0571522,77.0
SONICAD PHILS. INC.,240.0,30.0
"BIOSYN HEALTHCARE PRODUCTS, INC.",240.1,62.0
SYNAPSE TRADING,240.3559,7.0
BRYANT MILLING & MARKETING,241.79263,22.5
ALNOR PRIME PROPERTIES CORPORATION,245.0,7.0
AL-RAEES ENTERPRISES,245.0,5.0
MINE GENERAL MERCHANDISE,245.0,5.0
MATAMPAY DIAMOND AGRICULTURAL PRODUCTS TRADING,245.0,4.0
"ISULAN ECT CONSTRUCTION & GENERAL MERCHANDISE, INC.",245.0,5.0
PANGASINAN ORGANIC SEED GROWERS AND NURSERY MPC,245.48,32.0
GREAT HARVEST COMMODITIES PH. INC.,246.0,6.0
Gervy's Trading & General Merchandise,246.48378,7.0
STA. ANA HEALTHCARE PLUS CORPORATION,249.955,7.428571428571429
"PSI Air 2007, Inc.",250.0,254.0
"Malangatong Farmers Association, Inc.",252.0,1.0
Alghen Trading,252.76778,6.0
Pinwenco Enterprises,253.945529,5.75
Duomedics Enterprises,254.8788,10.5
"Gransol Trading Co., Inc.",256.0,30.0
Sta. Ana Enterprises,258.1301,13.166666666666666
P.B. Obial Constuction,259.995,21.0
Yanyan Marketing,265.6615,30.666666666666668
DPIA Marketing Cooperative,266.5375,30.0
Miyana Industrial Marketing and Services,269.6,15.0
Smart Communications Inc.,270.0,10.0
Hafid N' Erasmus Corporation,272.61215,14.0
"ZAFIRE DISTRIBUTORS, INC.",274.12315,48.666666666666664
WESTERN FORTUNE TRADING,275.76288,24.25
"JV Integrated Energy Systems and Resources, Inc & Unimasters Conglomeration, Inc",276.6852,21.0
NEW ISABELA GRAINS MILLING,277.5,31.8
RCV Enterprise,282.8393,9.347826086956522
Double J Grains Trading,284.8450675,2.0
CANOGA ENTERPRISES,285.56346,7.0
SILVERICE TRADING CORP,285.876,51.0
"SeedWorks Philippines, Incorporated",292.9995,13.0
LOLO APO GEN. MERCHANDISE,294.751576,7.0
Lakshmi Zane Enterprises,297.7116,10.0
Crossix Inc.,297.95664,10.5
MANQUE PROSPERE GENERAL MERCHANDISE,299.9375,7.0
MEDICOTEK INC,301.6,26.0
Reliance Producers Cooperative,301.676,365.0
Rite-Tech Marketing,305.355,6.8
Kulit's Drugstore,305.721575,7.5
"V Integrated Energy Systems and Resources, Inc & Unimasters Conglomeration, Inc",308.88,21.0
HLYC Trading,313.1638365,8.76923076923077
Himex Corporation,313.6625,14.0
Zuellig Pharma Corp.,321.9329,12.666666666666666
PRIME MEDIX INTL.,330.0,21.0
Abeth and Lulu Rice Store,330.0,3.0
Jay-R and Marie Rice Store,330.0,6.0
Bosh Megatrade and Services Corporation / Donna R. Masiglat,330.0,32.0
MSIA GENERAL MERCHANDISE,330.0,7.0
XARITO TRADING INC.,341.182,5.0
"IDS Medical Systems Philippines, Inc.",342.3574017,37.54545454545455
NANSMAR MARKETING BUY & SELL AGRI PRODUCTS,343.0,5.0
Dio Implant Phils. Corp.,343.7404,10.0
MC JEB TRADING,344.11455,5.0
Mel-C Trading,348.03959,9.0
TWIS Trading,351.125,5.0
Gold Medlines Drug Distribution,353.44600149999997,8.8
Lantau Industrial Supply and Services Corporation,358.24676,18.5
AGRICONS IMPEX CO,367.5,7.0
GOLDENYANA ENTERPRISES,367.5,5.0
KRESA NIRIIS TRADING,368.29889,7.0
ESPJR Trading,370.3358,14.0
Aljeron Medical Enterprises,371.4672,11.833333333333334
"Phil Pharmawealth, Inc.",375.0,127.0
JEDECO TRADING CORPORATION,376.7705,21.8
Dynasty Pharmaceuticals,377.016,22.454545454545453
"WAMRUS TRADING, INC.",379.6,30.0
"Right Agri Development, Corp.",380.32392,31.0
JV of Sunwest Construction and Development Corporation and DCKAR Trading,383.2848,14.0
Progressive Grains Milling Corporation,385.75,5.0
ALTURAS SUPERMARKET CORP.,388.6827192,2.0
